Place,Total Population,ACS Medi-Cal Individuals,ACS Medi-Cal Individual %,Corrected Medi-Cal Individuals,Corrected Medi-Cal Individual %,Total Households,SNAP/CalFresh Households,SNAP/CalFresh Household %
Acalanes Ridge,1025,103,10.05%,123,12.00%,422,9,2.13%
Alamo,14431,1014,7.03%,1207,8.36%,5149,105,2.04%
Alhambra Valley,937,217,23.16%,258,27.53%,318,48,15.09%
Antioch,115451,32196,27.89%,38313,33.19%,37042,5008,13.52%
Bay Point,24060,7514,31.23%,8942,37.17%,6765,1221,18.05%
Bayview CDP (Contra Costa County),2533,997,39.36%,1186,46.82%,769,0,0.00%
Bethel Island,2144,589,27.47%,701,32.70%,900,91,10.11%
Blackhawk,10298,435,4.22%,518,5.03%,3887,0,0.00%
Brentwood,64578,11380,17.62%,13542,20.97%,20918,1386,6.63%
Byron,1872,745,39.80%,887,47.38%,535,24,4.49%
Camino Tassajara,6395,571,8.93%,679,10.62%,1789,23,1.29%
Castle Hill,1303,24,1.84%,29,2.23%,428,0,0.00%
Clayton,10962,629,5.74%,749,6.83%,3967,71,1.79%
Clyde,716,216,30.17%,257,35.89%,293,15,5.12%
Concord,123509,29846,24.17%,35517,28.76%,45635,3901,8.55%
Contra Costa Centre,7045,1334,18.94%,1587,22.53%,3608,208,5.76%
Crockett,3642,422,11.59%,502,13.78%,1692,95,5.61%
Danville,43374,1313,3.03%,1562,3.60%,15537,111,0.71%
Diablo,1072,33,3.08%,39,3.64%,385,0,0.00%
Discovery Bay,15243,1289,8.46%,1534,10.06%,5494,283,5.15%
East Richmond Heights,3306,343,10.38%,408,12.34%,1371,47,3.43%
El Cerrito,25744,3853,14.97%,4585,17.81%,10696,412,3.85%
El Sobrante CDP (Contra Costa County),15820,3837,24.25%,4566,28.86%,5419,709,13.08%
Hercules,26209,3874,14.78%,4610,17.59%,9319,622,6.67%
Kensington,5292,296,5.59%,352,6.65%,2131,20,0.94%
Knightsen,2018,310,15.36%,369,18.29%,600,46,7.67%
Lafayette,25226,1162,4.61%,1383,5.48%,9225,187,2.03%
Martinez,36384,4202,11.55%,5000,13.74%,14673,789,5.38%
Montalvin Manor,2080,582,27.98%,693,33.32%,636,163,25.63%
Moraga,16748,788,4.71%,938,5.60%,5628,40,0.71%
Mountain View,2072,384,18.53%,457,22.06%,881,93,10.56%
Norris Canyon,846,70,8.27%,83,9.81%,242,0,0.00%
North Gate,719,70,9.74%,83,11.54%,243,0,0.00%
North Richmond,3935,1339,34.03%,1593,40.48%,1061,113,10.65%
Oakley,44283,7980,18.02%,9496,21.44%,13448,1192,8.86%
Orinda,19431,1058,5.44%,1259,6.48%,7386,110,1.49%
Pacheco,4657,1216,26.11%,1447,31.07%,1784,274,15.36%
Pinole,18806,3356,17.85%,3994,21.24%,6882,509,7.40%
Pittsburg,75632,23594,31.20%,28077,37.12%,23503,3469,14.76%
Pleasant Hill,34038,3255,9.56%,3873,11.38%,13552,491,3.62%
Port Costa,194,12,6.19%,14,7.22%,144,74,51.39%
Reliez Valley,2973,71,2.39%,84,2.83%,1063,0,0.00%
Richmond,114605,38133,33.27%,45378,39.60%,40466,4948,12.23%
Rodeo,8732,2015,23.08%,2398,27.46%,2969,560,18.86%
Rollingwood,3614,1268,35.09%,1509,41.75%,940,104,11.06%
San Miguel CDP (Contra Costa County),3991,202,5.06%,240,6.01%,1347,31,2.30%
San Pablo,31378,12333,39.30%,14676,46.77%,9847,1693,17.19%
San Ramon,85716,6213,7.25%,7393,8.62%,29680,707,2.38%
Saranap,5670,542,9.56%,645,11.38%,2387,23,0.96%
Shell Ridge,998,29,2.91%,35,3.51%,347,0,0.00%
Tara Hills,4910,1166,23.75%,1388,28.27%,1750,131,7.49%
Vine Hill,3617,885,24.47%,1053,29.11%,1309,199,15.20%
Walnut Creek,68976,6819,9.89%,8115,11.76%,32142,891,2.77%
